"","pop_city","sec_city","gdp_city","pgdp_city","firm_city","gonglu","emit_ww","emit_so1","emi_dust1","city_code"
"87",97,179500,12411989,107463,375,2464,1439,53981,799164,54217
"88",600,630933,38986594,64287,3618,9895,5725,161705,1715770,21740
"89",268,40800,12102414,56238,1115,3244,3757,15640,134045,40332
"90",730,859857,62743777,80138,2535,10127,5130,83393,3668126,67987
"91",388,252456,26994385,73715,2089,3808,3302,110654,4266419,4870
"92",380,124787,13858228,41855,1162,2978,1917,35060,517222,27494
"93",389,155694,9638395,27990,603,4034,4082,231293,8561738,23427
"94",229,119075,14937617,65833,1214,2729,7558,160789,4544770,5996
"95",217,136274,7990337,36427,774,1736,3153,118325,1718602,63994
"96",171,94772,9573000,59960,541,2141,3935,2005457,5803452,90542
"97",529,139199,15311776,33294,1768,4247,4018,118802,3163661,86808
"98",148,35012,5768174,41905,563,3584,707,2920,45680,13457
"99",454,98090,14228257,35301,1577,7836,3799,39823,984845,77178
"100",1062,100279,14018589,17642,1718,7803,2500,38917,1053369,4956
"101",654,259000,13518116,24270,1315,4683,3572,77102,2148366,101936
"102",587,199601,11081469,23298,948,6207,810,31081,924628,67764
"103",647,72064,10461044,20611,931,5257,1879,25676,485218,92540
"104",162,36656,5890196,40919,605,1715,945,114672,312958,14287
"105",280,61122,10578243,40740,1462,3484,1811,59119,890811,100451
"106",687,914332,61976395,82251,2220,10152,3696,133443,1695547,80521
"107",221,879644,37842662,97282,1719,4139,18259,19926,300587,28760
"108",350,368073,18234281,63313,1261,2764,2504,11256,228752,11975
"109",287,86539,18608197,73261,1796,2343,6566,52913,3947384,77114
"110",730,1147743,66466294,77784,4514,6580,13349,258748,1857912,85766
"111",508,327043,31253456,62196,2228,2401,15387,76885,476342,17301
"112",321,84376,14577378,55009,1124,2024,3297,11092,398741,32247
"113",314,122384,18956670,72354,1205,2023,4432,59367,5323645,16213
"114",352,149125,16231142,56358,1195,6712,1303,51125,407226,60407
"115",523,786363,43549927,81598,1385,3001,10258,83457,1176909,91749
